simulation,width,threads,ipc_max,ipc_global,sim_insts,max_numCycles,folder
m16,2,1,0.687737,0.687737,87009,126515,w2_t1
m16,2,2,1.520815,0.902848,99623,110343,w2_t2
m16,2,4,1.420796,1.165169,117618,100945,w2_t4
m16,2,8,1.342341,1.730267,170914,98779,w2_t8
m16,2,16,1.391451,3.348136,343656,102641,w2_t16
m16,4,1,0.818061,0.818061,87009,106360,w4_t1
m16,4,2,2.516108,1.076864,106532,98928,w4_t2
m16,4,4,2.328769,1.512734,143383,94784,w4_t4
m16,4,8,2.249268,2.540831,240327,94586,w4_t8
m16,8,1,0.829242,0.829242,87009,104926,w8_t1
m16,8,2,2.962839,1.173208,115317,98292,w8_t2
m16,8,4,2.791385,1.680513,156933,93384,w8_t4
m16,8,8,2.833277,2.999006,280545,93546,w8_t8
m128,2,1,1.878163,1.878163,32000522,17038207,w2_t1
m128,2,2,1.912657,3.687299,32013761,8682171,w2_t2
m128,2,4,1.860573,6.871871,32033948,4661605,w2_t4
m128,2,8,1.481965,10.378265,33554476,3233149,w2_t8
m128,2,16,0.855419,11.854433,35606223,3003621,w2_t16
m128,4,1,2.182466,2.182466,32000522,14662551,w4_t1
m128,4,2,2.286652,4.368800,32021118,7329499,w4_t2
m128,4,4,2.098620,7.666794,32061636,4181883,w4_t4
m128,4,8,1.512135,10.498380,34040923,3242493,w4_t8
m128,4,16,0.902212,12.446526,37186026,2987663,w4_t16
m128,8,1,2.178907,2.178907,32000522,14686504,w8_t1
m128,8,2,2.324532,4.436216,32025526,7219108,w8_t2
m128,8,4,2.105612,7.690020,32071999,4170600,w8_t4
m128,8,8,1.582952,11.026651,35277499,3199294,w8_t8
m128,8,16,0.953026,13.088256,39130667,2989754,w8_t16
