threads,width,ipc_max_cpu,cycles_max_cpu,insts_max_cpu,sim_ticks,sim_seconds,run_dir,status
1,2,,,,8519103000,0.008519,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w2_t1,OK
2,2,1.912657,8682171,16174992,4341085000,0.004341,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w2_t2,OK
4,2,1.860573,4661605,8258962,2330802000,0.002331,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w2_t4,OK
8,2,1.481965,3233149,4303274,1616574000,0.001617,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w2_t8,OK
16,2,0.855419,3003621,2325881,1501810000,0.001502,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w2_t16,OK
32,2,0.497338,2924745,1338728,1462372000,0.001462,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w2_t32,OK
64,2,,,,,,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w2_t64,FAIL
128,2,0.239459,2050099,490915,1025049000,0.001025,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w2_t128,OK
1,4,,,,7331275000,0.007331,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w4_t1,OK
2,4,2.286652,7329499,16175428,3664749000,0.003665,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w4_t2,OK
4,4,2.098620,4181883,8261348,2090941000,0.002091,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w4_t4,OK
8,4,1.512135,3242493,4303858,1621246000,0.001621,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w4_t8,OK
16,4,0.902212,2987663,2333262,1493831000,0.001494,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w4_t16,OK
32,4,0.551997,2901761,1380552,1450880000,0.001451,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w4_t32,OK
64,4,,,,,,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w4_t64,FAIL
128,4,0.312221,1497700,451469,748849500,0.000749,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w4_t128,OK
1,8,,,,7343251500,0.007343,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w8_t1,OK
2,8,2.324532,7219108,16173722,3609553500,0.003610,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w8_t2,OK
4,8,2.105612,4170600,8258962,2085299500,0.002085,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w8_t4,OK
8,8,1.582952,3199294,4426414,1599646500,0.001600,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w8_t8,OK
16,8,0.953026,2989754,2466591,1494876500,0.001495,/home/s/santiago.florido/TP5/CORTEXA15/results/m128/w8_t16,OK
